city,state,country,2020,2021,2022,2023,2024,2025,2026
Lame Deer,MT,US,,,,,33,33,51
Hampton Beach,NH,US,,,,,17,17,51
Atlantic Highlands,NJ,US,,,,52,53,53,51
Chester,NJ,US,,,,,40,38,51
Hackettstown,NJ,US,,,,36,42,31,51
Portsmouth,OH,US,,,,,60,62,51
Spearfish,SD,US,,,,40,40,40,51
Aubrey,TX,US,,,20,17,16,17,51
Shady Shores,TX,US,,,10,10,12,12,51
Ivins,UT,US,,,,,,,51
Killington,VT,US,,,,,,,51
Port Townsend,WA,US,58,60,60,65,70,68,51
Boscobel,WI,US,,,,,53,53,51
Darlington,WI,US,,,,,,,51
Delafield,WI,US,,,,29,29,29,51
Monona,WI,US,,,,59,64,63,51
Wilson,WY,US,,,,,,38,51
Fayette,AL,US,,,,,65,65,50
Gulf Shores,AL,US,,,,29,36,36,50
Bentonville,AR,US,41,46,43,42,43,46,50
Belmont,CA,US,,,,,,38,50
San Fernando,CA,US,,,,,,26,50
Westlake Village,CA,US,26,27,24,24,27,22,50
Morrison,CO,US,,,39,32,32,32,50
St. Simons,GA,US,,,,37,42,52,50
Lahaina,HI,US,,,,44,44,45,50
Galena,IL,US,,25,25,18,18,55,50
Lewisburg,KY,US,,,39,41,41,41,50
Salyersville,KY,US,,,,,23,24,50
Lusby,MD,US,,,,,,14,50
Cambridge,MA,US,36,49,52,72,72,68,50
Sturbridge,MA,US,,,,,18,18,50
Battle Creek,MI,US,,,,38,42,40,50
Jackson,MI,US,,,,37,46,51,50
Edgewater,NJ,US,,18,18,23,26,26,50
Maurice River,NJ,US,,,,,,,50
Millburn,NJ,US,,27,31,31,28,29,50
Centerville,OH,US,27,27,28,32,34,34,50
Stow,OH,US,,,34,40,40,42,50
Skiatook,OK,US,,,,,,,50
Mosier,OR,US,,,,,,,50
State College,PA,US,53,51,52,50,52,51,50
Enumclaw,WA,US,,,,,,43,50
East Troy,WI,US,,,,,56,56,50
Gibraltar,WI,US,,,35,36,36,36,50
Middleton,WI,US,,,,39,48,48,50
Racine,WI,US,38,38,40,40,41,41,50
Vestavia Hills,AL,US,,,,,,29,49
Topawa,AZ,US,,,,,,,49
Bella Vista,AR,US,40,45,46,38,40,44,49
Fayetteville,AR,US,39,42,46,49,50,51,49
Albany,CA,US,,,,60,60,60,49
Big Bear Lake,CA,US,,,,33,38,37,49
Crockett,CA,US,,,,,22,23,49
East Palo Alto,CA,US,,,27,29,32,36,49
Merced,CA,US,,,,,,40,49
Portola,CA,US,,,,,,,49
Sanger,CA,US,,,,,56,50,49
Tiburon,CA,US,,,,,,,49
Hiram,GA,US,,,11,11,16,16,49
Oxford,GA,US,,,9,7,7,8,49
Kaunakakai,HI,US,,,,50,50,48,49
Brookfield,IL,US,,,,,,,49
Campton,KY,US,,,,,32,32,49
Yarmouth,ME,US,,,,,,,49
Middleton,MA,US,,,,,,,49
Buchanan,MI,US,,,,50,53,51,49
Holton,MI,US,,,,,,,49
Chanhassen,MN,US,,31,31,29,29,30,49
Lee's Summit,MO,US,30,29,30,29,29,29,49
Smithville,MO,US,,,,25,26,31,49
Kalispell,MT,US,35,45,54,38,39,39,49
Papillion,NE,US,38,37,37,36,43,44,49
Bethlehem,NH,US,,,,,,,49
East Merrimack,NH,US,,,19,19,20,21,49
Lebanon,NH,US,,18,34,32,37,38,49
Bordentown,NJ,US,,,,,,25,49
Plainfield,NJ,US,,61,61,57,57,56,49
Staten Island,NY,US,33,34,39,40,,48,49
Leland,NC,US,,,,15,14,17,49
Cuyahoga Falls,OH,US,,,27,29,30,34,49
Gahanna,OH,US,31,24,24,28,28,29,49
Willoughby,OH,US,,,,,,27,49
Klamath Falls,OR,US,23,23,23,31,31,32,49
Camp Hill,PA,US,,,33,28,29,30,49
Garrett,PA,US,,,,,,32,49
Harveys Lake,PA,US,,,,,25,19,49
Hulmeville,PA,US,,,,,4,4,49
Sharon,PA,US,,,,,,,49
Wayne,PA,US,,38,39,43,43,45,49
Hendersonville,TN,US,,,,28,29,28,49
Aurora,TX,US,,,28,27,22,22,49
